# Generation	Energy	Composition
1	-9062.313867	Pt4Cu34
2	-9062.313867	Pt4Cu34
3	-9062.313867	Pt4Cu34
4	-9062.313867	Pt4Cu34
5	-9081.441314	Pt4Cu34
6	-9081.441314	Pt4Cu34
7	-9081.441314	Pt4Cu34
8	-9087.971581	Pt4Cu34
9	-9089.577174	Pt4Cu34
10	-9089.577174	Pt4Cu34
11	-9094.148021	Pt4Cu34
12	-9094.148021	Pt4Cu34
13	-9094.148021	Pt4Cu34
14	-9094.148021	Pt4Cu34
15	-9094.148021	Pt4Cu34
16	-9096.781935	Pt4Cu34
17	-9096.781935	Pt4Cu34
18	-9096.781935	Pt4Cu34
19	-9096.781935	Pt4Cu34
20	-9096.781935	Pt4Cu34
21	-9097.422077	Pt4Cu34
22	-9097.422077	Pt4Cu34
23	-9097.422077	Pt4Cu34
24	-9097.422077	Pt4Cu34
25	-9097.422077	Pt4Cu34
26	-9097.422077	Pt4Cu34
27	-9097.422077	Pt4Cu34
28	-9105.128908	Pt4Cu34
29	-9105.128908	Pt4Cu34
30	-9105.128908	Pt4Cu34
31	-9105.128908	Pt4Cu34
32	-9105.128908	Pt4Cu34
33	-9105.128908	Pt4Cu34
34	-9105.128908	Pt4Cu34
35	-9105.128908	Pt4Cu34
36	-9105.128908	Pt4Cu34
37	-9105.128908	Pt4Cu34
38	-9105.128908	Pt4Cu34
39	-9105.128908	Pt4Cu34
40	-9105.128908	Pt4Cu34
41	-9105.128908	Pt4Cu34
42	-9105.128908	Pt4Cu34
43	-9105.128908	Pt4Cu34
44	-9105.128908	Pt4Cu34
45	-9105.128908	Pt4Cu34
46	-9105.128908	Pt4Cu34
47	-9105.128908	Pt4Cu34
48	-9105.128908	Pt4Cu34
49	-9105.128908	Pt4Cu34
50	-9105.128908	Pt4Cu34
51	-9105.128908	Pt4Cu34
52	-9105.128908	Pt4Cu34
53	-9105.128908	Pt4Cu34
54	-9105.128908	Pt4Cu34
55	-9105.128908	Pt4Cu34
56	-9105.128908	Pt4Cu34
57	-9105.128908	Pt4Cu34
58	-9105.128908	Pt4Cu34
59	-9105.128908	Pt4Cu34
60	-9105.128908	Pt4Cu34
61	-9105.128908	Pt4Cu34
62	-9108.325598	Pt4Cu34
63	-9108.325598	Pt4Cu34
64	-9108.325598	Pt4Cu34
65	-9108.325598	Pt4Cu34
66	-9108.325598	Pt4Cu34
67	-9108.325598	Pt4Cu34
68	-9108.325598	Pt4Cu34
69	-9108.325598	Pt4Cu34
70	-9108.325598	Pt4Cu34
71	-9108.325598	Pt4Cu34
72	-9108.325598	Pt4Cu34
73	-9108.325598	Pt4Cu34
74	-9108.325598	Pt4Cu34
75	-9108.325598	Pt4Cu34
76	-9108.325598	Pt4Cu34
77	-9108.325598	Pt4Cu34
78	-9108.325598	Pt4Cu34
79	-9108.325598	Pt4Cu34
80	-9108.325598	Pt4Cu34
81	-9108.325598	Pt4Cu34
82	-9108.325598	Pt4Cu34
83	-9108.325598	Pt4Cu34
84	-9108.325598	Pt4Cu34
85	-9108.325598	Pt4Cu34
86	-9108.325598	Pt4Cu34
87	-9108.325598	Pt4Cu34
88	-9108.325598	Pt4Cu34
89	-9108.325598	Pt4Cu34
90	-9108.325598	Pt4Cu34
91	-9108.325598	Pt4Cu34
92	-9108.325598	Pt4Cu34
93	-9108.325598	Pt4Cu34
94	-9108.325598	Pt4Cu34
95	-9108.325598	Pt4Cu34
96	-9108.325598	Pt4Cu34
97	-9108.325598	Pt4Cu34
98	-9108.325598	Pt4Cu34
99	-9108.325598	Pt4Cu34
100	-9108.325598	Pt4Cu34
