9	-60.0305	-60.0305	-60.0305	-60.0305
10	-60.0305	-60.0305	-60.0305	-60.0305
11	-60.0305	-60.0305	-60.0305	-60.0305
12	-60.0305	-60.0305	-60.0305	-60.0305
13	-60.0305	-60.0305	-60.0305	-60.0305
14	-60.0305	-60.0305	-60.0305	-60.0305
15	-60.0305	-60.0305	-60.0305	-60.0305
16	-60.0305	-60.0305	-60.0305	-60.0305
17	-60.0305	-60.0305	-60.0305	-60.0305
18	-60.0305	-60.0305	-60.0305	-60.0305
19	-60.0305	-60.0305	-60.0305	-60.0305
20	-60.0305	-60.0305	-60.0305	-60.0305
21	-60.0305	-60.0305	-60.0305	-60.0305
22	-60.0305	-60.0305	-60.0305	-60.0305
23	-60.0305	-60.0305	-60.0305	-60.0305
24	-60.0305	-60.0305	-60.0305	-60.0305
25	-60.0305	-60.0305	-60.0305	-60.0305
26	-60.0305	-60.0305	-60.0305	-60.0305
27	-60.0305	-60.0305	-60.0305	-60.0305
28	-60.0305	-60.0305	-60.0305	-60.0305
29	-60.0305	-60.0305	-60.0305	-60.0305
30	-60.0305	-60.0305	-60.0305	-60.0305
31	-60.0305	-60.0305	-60.0305	-60.0305
32	-60.0305	-60.0305	-60.0305	-60.0305
33	-60.0305	-60.0305	-60.0305	-60.0305
34	-60.0305	-60.0305	-60.0305	-60.0305
35	-60.0305	-60.0305	-60.0305	-60.0305
36	-60.0305	-60.0305	-60.0305	-60.0305
37	-60.0305	-60.0305	-60.0305	-60.0305
38	-60.0305	-60.0305	-60.0305	-60.0305
39	-60.0305	-60.0305	-60.0305	-60.0305
40	-60.0305	-60.0305	-60.0305	-60.0305
41	-60.0305	-60.0305	-60.0305	-60.0305
42	-60.0305	-60.0305	-60.0305	-60.0305
43	-60.0305	-60.0305	-60.0305	-60.0305
44	-60.0305	-60.0305	-60.0305	-60.0305
45	-60.0305	-60.0305	-60.0305	-60.0305
46	-60.0305	-60.0305	-60.0305	-60.0305
47	-60.0305	-60.0305	-60.0305	-60.0305
48	-60.0305	-60.0305	-60.0305	-60.0305
49	-60.0305	-60.0305	-60.0305	-60.0305
50	-60.0305	-60.0305	-60.0305	-60.0305
51	-60.0305	-60.0305	-60.0305	-60.0305
52	-60.0305	-60.0305	-60.0305	-60.0305
53	-60.0305	-60.0305	-60.0305	-60.0305
54	-60.0305	-60.0305	-60.0305	-60.0305
55	-60.0305	-60.0305	-60.0305	-60.0305
56	-60.0305	-60.0305	-60.0305	-60.0305
57	-60.0305	-60.0305	-60.0305	-60.0305
58	-60.0305	-60.0305	-60.0305	-60.0305
59	-60.0305	-60.0305	-60.0305	-60.0305
60	-60.0305	-60.0305	-60.0305	-60.0305
61	-60.0305	-60.0305	-60.0305	-60.0305
62	-60.0305	-60.0305	-60.0305	-60.0305
63	-60.0305	-60.0305	-60.0305	-60.0305
64	-60.0305	-60.0305	-60.0305	-60.0305
65	-60.0305	-60.0305	-60.0305	-60.0305
66	-60.0305	-60.0305	-60.0305	-60.0305
67	-60.0305	-60.0305	-60.0305	-60.0305
68	-60.0305	-60.0305	-60.0305	-60.0305
69	-60.0305	-60.0305	-60.0305	-60.0305
70	-60.0305	-60.0305	-60.0305	-60.0305
71	-60.0305	-60.0305	-60.0305	-60.0305
72	-60.0305	-60.0305	-60.0305	-60.0305
73	-60.0305	-60.0305	-60.0305	-60.0305
74	-60.0305	-60.0305	-60.0305	-60.0305
75	-60.0305	-60.0305	-60.0305	-60.0305
76	-60.0305	-60.0305	-60.0305	-60.0305
77	-60.0305	-60.0305	-60.0305	-60.0305
78	-60.0305	-60.0305	-60.0305	-60.0305
79	-60.0305	-60.0305	-60.0305	-60.0305
80	-60.0305	-60.0305	-60.0305	-60.0305
81	-60.0305	-60.0305	-60.0305	-60.0305
82	-60.0305	-60.0305	-60.0305	-60.0305
83	-60.0305	-60.0305	-60.0305	-60.0305
84	-60.0305	-60.0305	-60.0305	-60.0305
85	-60.0305	-60.0305	-60.0305	-60.0305
86	-60.0305	-60.0305	-60.0305	-60.0305
87	-60.0305	-60.0305	-60.0305	-60.0305
88	-60.0305	-60.0305	-60.0305	-60.0305
89	-60.0305	-60.0305	-60.0305	-60.0305
90	-60.0305	-60.0305	-60.0305	-60.0305
91	-60.0305	-60.0305	-60.0305	-60.0305
92	-60.0305	-60.0305	-60.0305	-60.0305
93	-60.0305	-60.0305	-60.0305	-60.0305
94	-60.0305	-60.0305	-60.0305	-60.0305
95	-60.0305	-60.0305	-60.0305	-60.0305
96	-60.0305	-60.0305	-60.0305	-60.0305
97	-60.0305	-60.0305	-60.0305	-60.0305
98	-60.0305	-60.0305	-60.0305	-60.0305
99	-60.0305	-60.0305	-60.0305	-60.0305
100	-60.0305	-60.0305	-60.0305	-60.0305
1	-60.0305	-60.0305	-59.8685	-59.8685
2	-60.0305	-60.0305	-59.8685	-59.8685
3	-60.0305	-60.0305	-59.8685	-59.8685
4	-60.0305	-60.0305	-60.0305	-60.0305
5	-60.0305	-60.0305	-60.0305	-60.0305
6	-60.0305	-60.0305	-60.0305	-60.0305
7	-60.0305	-60.0305	-60.0305	-60.0305
8	-60.0305	-60.0305	-60.0305	-60.0305
9	-60.0305	-60.0305	-60.0305	-60.0305
10	-60.0305	-60.0305	-60.0305	-60.0305
11	-60.0305	-60.0305	-60.0305	-60.0305
12	-60.0305	-60.0305	-60.0305	-60.0305
13	-60.0305	-60.0305	-60.0305	-60.0305
14	-60.0305	-60.0305	-60.0305	-60.0305
15	-60.0305	-60.0305	-60.0305	-60.0305
